feature,mean_importance,fold_occurrences
sample__aa_H__event_MT__count,0.0008734988106880337,5
sample__aa_F__event_MT__count,0.0008734784438274801,5
CDH11,0.0008734035887755454,5
KIF3C,0.0008712259004823864,5
LAMA1,0.0008708506182301789,5
COL4A2,0.000870849471539259,5
CHPF,0.0008703653467819095,5
sample__aa_C__event_S__count,0.0008701260783709585,5
DLG5,0.0008672224241308868,5
ADAMTS5,0.0008670590526890009,5
OPRK1,0.0008654851408209652,5
PLG,0.0008639580686576664,5
PDS5B,0.0008629289455711842,5
AKAP13,0.0008626278256997466,5
LPIN1,0.0008589065750129521,5
sample__aa_V__event_M__count,0.0008571327547542751,5
SNAPC4,0.00085544737521559,5
sample__aa_G__event_MT__count,0.0008552615996450186,5
sample__aa_G__event_FS__count,0.0008547506062313914,5
MKI67,0.0008546828990802169,5
SVIL,0.0008542172145098448,5
NTF3,0.0008506792364642024,2
SSH2,0.000850456755142659,5
SPEG,0.0008503543504048139,5
ATXN2,0.0008502731448970735,5
TENM2,0.0008501154370605946,5
CEP250,0.0008473869413137436,5
COL5A1,0.0008471556240692735,5
SYNE1,0.0008459719829261303,5
LAMA2,0.0008438755176030099,5
FBN1,0.0008435047464445233,5
TTK,0.0008425310137681663,5
LUM,0.0008418264740612357,5
FLNB,0.0008418173179961741,5
ITGB4,0.0008409381727688015,5
sample__aa_T__event_S__count,0.0008407791261561215,5
DCC,0.0008390406845137476,5
MXRA5,0.0008388749731238932,5
PDE4DIP,0.0008383336593396961,5
OSMR,0.0008378759666811675,5
NR3C2,0.0008368442940991372,5
sample__aa_R__event_S__count,0.0008364792447537184,5
CDKAL1,0.0008347116527147591,4
sample__aa_I__event_MT__count,0.0008331144927069545,5
PEG3,0.0008323730435222387,5
EXOC4,0.0008322313195094466,5
BMP1,0.0008322122856043279,5
TSPYL2,0.0008316287421621382,2
MYH4,0.0008315623097587376,5
sample__aa_F__event_FS__count,0.0008282703114673495,5
sample__aa_A__event_S__count,0.0008280736510641873,5
ABCC3,0.000827526964712888,5
ADAM17,0.000826402974780649,1
PNN,0.0008249401580542326,3
EPB41L3,0.0008246518089435994,5
MYLK,0.0008223366807214916,5
KCNH1,0.000821611622814089,5
TJP1,0.0008209556108340621,5
sample__aa_M__event_M__count,0.0008206999395042658,5
COL7A1,0.0008191013126634062,5
CDC27,0.0008184243924915791,5
DNMBP,0.0008178734162356705,5
sample__aa_N__event_M__count,0.0008177555166184903,5
CDH8,0.0008168303058482707,5
sample__aa_K__event_M__count,0.0008137513534165919,5
IGF2R,0.0008119052217807621,5
TRIM58,0.0008115623728372157,5
MYBPC3,0.0008114542113617062,5
TEX15,0.0008102940628305078,5
COL2A1,0.000810239085694775,5
sample__aa_N__event_FS__count,0.0008097364334389567,5
sample__aa_S__event_M__count,0.0008097273414023221,5
PRDM2,0.0008087936788797378,5
